Reg No,NC Type,Noncandidate Committee Name,Chairperson Name,Chair Occupation,Chair Principal Place of Business,Treasurer Name,Treasurer Occupation,Treasurer Principal Place of Business,"Area, Scope, or Jurisdiction",Political Party,Ballot Issue Description,Single Candidate Name,Terminated,Filing Date
NC20257,Standard,Democratic Governors Association - Hawaii ,"Daschle, Nathan T. ",Executive Director ,Democratic Governors Association,"Metcalf, Benjamin C. ",Chief Operating Officer,Democratic Governors Association,Other,,,,Y,10/29/2009
NC20037,Political Party,Democratic Party of Hawaii,"Vandeveer, Tim ",Law Student UHM,Honolulu,"Young, Tambry R. ",Sales Rep ,"Honolulu, Hawaii ",Political Party,Democrat,,,N,07/06/2008
NC20401,Independent Expenditure,DMH SUPER PAC,"Mossman, Paul L. ",Construction/Sales,Oahu,"Hashimoto, Garret ",Sales,Oahu,Independent Expenditure,,,,Y,01/27/2014
NC20626,Standard,Dow AgroSciences,"Stuart, Bryan L. ",State Affairs Leader,"Sacramento, CA","Stuart, Bryan L. ",state affairs leader,"Sacramento, CA",Agribusiness,,,,N,07/12/2016
NC20471,Ballot Issue,"Dow AgroSciences, LLC","Morris, David A. ",Committee Chairman,"Indianapolis, Indiana","Ayers, Mary B. ",Committee Treasurer,"Indianapolis, Indiana",Ballot Issue,,County of Maui - Proposed Amendment re: GMO,,Y,08/28/2014
NC20038,Standard,"Dowling Company, Inc. - Campaign Funds ","Dowling, Everett R. ",Real Estate Developer,Maui,"Gomez, Kelii ",Assistant Controller,Maui,Real Estate,,,,Y,07/10/2008
NC20039,Standard,"DRIVE-Democrat, Republican, Independent Voter Education","Hoffa, James P. ",General President,International Brotherhood of Teamsters,"Hall, Ken ",General Secretary-Treasurer,International Brotherhood of Teamsters,Other,,,,N,09/09/2008
NC20040,Standard,Dwyer Schraff Meyer Grant & Green - PAC Account ,"Schraff, Paul A. ",Attorney,"900 Fort Street Mall, Suite 1800, Honolulu, HI","Schraff, Paul A. ",Attorney,"900 Fort Street Mall, Suite 1800, Honolulu, HI",Judicial / Legal,,,,Y,06/19/2008
NC20571,Standard,E.I. du Pont de Nemours Company,"Harden, Krysta ",VP  Government Affairs,"Washington, DC","Hodges, Craig D. ",Finance Consultant,"Wilmington, DE",Business / General Commerce,,,,N,02/02/2015
NC20546,Independent Expenditure,Education Reform Now Advocacy,"van Keerbergen, Patrick ",POLITICAL DIRECTOR,DEMOCRATS FOR EDUCATION REFORM,"Williams, Joe ",EXECUTIVE DIRECTOR,DEMOCRATS FOR EDUCATION REFORM,Independent Expenditure,,,,Y,10/27/2014
NC20041,Standard,"Edward Enterprises, Inc. PAC ","Morioka, Sanford A. ",Vice President,"Honolulu, HI  96819","Takushi, Miles M. ",Vice President/Controller,"Honolulu, HI  96819",Other,,,,Y,06/17/2008
NC20312,Standard,Electrical Contractors Association of Hawaii Political Action Committee (ECAH PAC),"Hanamoto, Jody M. ",Electrical Contractor,"1320 Kalani Street, #306","Itamoto, Alfred S. ",Executive Director,"1286 Kalani Street, Suite B-203, Honolulu, Hi",Construction,,,,Y,01/25/2012
NC20042,Standard,Eli Lilly and Company Political Action Committee ,"Ricks, David ",CFO-Eli Lilly,"Indianapolis, IN","Huesing, John ",Treasurer - Eli Lilly,"Indianapolis, IN",Healthcare / Medical,,,,Y,08/11/2008
NC20309,Standard,EMILY's List - HI,"Guinn, Lucinda ",Campaigns Director,EMILY's List,"Fines, Callie ",Director of Finance and Compliance,EMILY's List,Ideological / Single-Issue,,,,N,11/22/2011
NC20043,Standard,Emily's List - HI ,"Cocanour, Britt ",Chief of Staff,EMILY's List,"Fines, Callie ",Dir of Finance and Compliance,EMILY's List,Other,,,,Y,07/15/2008
NC20268,Standard,Employees of Northrop Grumman Corporation PAC ,"Conley, Mary Frances ",Manager,"1000 Wilson Blvd., Suite 2300, Arlington, VA 22209","Davidson, Cary ",Attorney,"3699 Wilshire Blvd. #1290, Los Angeles, CA 90010",Business / General Commerce,,,,Y,05/18/2010
NC20521,Standard,"En Fuego, LLC","Okuhara, Ross ",Restaurant,Kapolei,"Okuhara, Ross ",Restaurant,Kapolei,Business / General Commerce,,,,Y,10/15/2014
NC20044,Standard,"Enterprise Holdings, Inc. PAC","Kaplan, Lee R. ",Chairperson,"Enterprise Holdings, Inc.","Short, Rick ",Treasurer,"Enterprise Holdings, Inc.",Transportation,,,,N,09/03/2008
NC20298,Standard,Environmental Caucus of Democratic Party of Hawaii,"Kawamoto, Juanita Brown ",Enviromentalist,DOE,"Brown, Robert ",Home Services,Home Depot,Political Party,Democrat,,,Y,03/01/2011
NC20283,Standard,Equality Hawaii Action Fund,"Mikulanec, Jacce ",Legislative Aide,State of Hawaii,"Rosette, Kory J. ",Secretary,Office of Environmental Quality Control,Ideological / Single-Issue,,,,N,09/17/2010
NC20522,Standard,"ER Marketing, Inc.","Rosso, Eric ",Marketing,"ER Marketing, Inc","Rosso, Eric ",Marketing,"ER Marketing, Inc",Communications / Electronics,,,,Y,10/08/2014
NC20222,Standard,"Ernesto M. Vasquez Architects, Inc. ","Vasquez, Ernesto M. ",Partner,California,"Fulwider, Salvatory ",Controller,California,Architect / Engineer,,,,Y,09/10/2008
NC20339,Standard,"EWM Investments, LLC ","Anderson, Charles A. ",Realtor,Hawaii,"Anderson, Charles A. ",Realtor,Hawaii,Real Estate,,,,Y,06/19/2012
NC20526,Standard,Expressive Designs,"Tronolone, Chris M. ",Silk Screen,Haleiwa,"Tronolone, Chris M. ",Silk Screen,Haleiwa,Other,,,,Y,10/20/2014
NC20630,Standard,"Farmers Group, Inc.","Lim, Darrin ",Designated Agent for Filer,"Los Angeles, CA","Lim, Darrin ",Designated Agent for Filer,"Los Angeles, CA",Other,,,,N,08/05/2016
NC20005,Standard,Farmers Insurance Hawaii Employees PAC ,"Nakagawa, Ann T. ",VP,"Farmers Insurance Hawaii, Inc.","Sato, Kim N. ",Controller,"Farmers Insurance Hawaii, Inc.",Insurance,,,,Y,06/17/2008
NC20045,Standard,Finance Enterprises PAC,"Teruya, Steven ",Corporate Executive,"1164 Bishop St, Honolulu, HI","Yip, June L. ",Accounting Manager,"1164 Bishop St, Honolulu, HI",Finance,,,,N,09/10/2008
NC20543,Standard,"MF Med, Inc.","Van Natta,M.D., James F. ",md,kona,"Van Natta, M.D., James F. ",md,kona,Healthcare / Medical,,,,Y,10/21/2014
NC20434,Standard,"Finishing Edge Curb & Sidewalk, LLC","Bergman, Brad T. ",Business Owner,Finishing Edge Curb & Sidewalk LLC,"Beauchamp, Gretchen A. ",Controller,Finishing Edge Curb & Sidewalk LLC,Construction,,,,Y,04/23/2014
NC20447,Standard,Fire Fighters Interested in Registration and Education PAC,"Schaitberger, Harold ",General President,International Association of Fire Fighters,"Miller, Thomas H. ",General Secretary/Treasurer,International Association of Fire Fighters,Labor Union,,,,Y,06/11/2014
NC20574,Standard,First Hawaiian Bank,"Okinaga, Carrie ",Attorney,First Hawaiian Bank,"Okabayashi, Neal K. ",Attorney,First Hawaiian Bank,Business / General Commerce,,,,N,03/31/2015
NC20196,Standard,First Hawaiian Bank Good Citizenship Committee,"Caulfield, Gary L. ",Banker,First Hawaiian Bank,"Okabayashi, Neal K. ",Attorney,First Hawaiian Bank,Business / General Commerce,,,,N,08/22/2008
NC20389,Standard,"First Wind Energy, LLC","Endo, Jennifer N. ",Administrative Assistant,Honolulu,"Endo, Jennifer N. ",Administrative Assistant,Honolulu,Energy / Utility,,,,Y,07/11/2013
NC20381,Standard,"First Wind Energy, LLC ","Kaluhiwa, Kekoa W. ","Director, External Affairs",Honolulu,"Endo, Jennifer N. ",Administrative Assistant,Honolulu,Energy / Utility,,,,Y,10/30/2012
NC20493,Standard,Fisher Hawaii,"Hirata, Alvin A. ",GENERAL MANAGER / VP,FISHER HAWAII,"Mori, Thomas H. ",CONTROLLER / ASST. SECRETARY,FISHER HAWAII,Business / General Commerce,,,,Y,09/30/2014
NC20490,Ballot Issue,For The Future Of Our Keiki,"Alvaro, Georgiana V. ",Retired,N/A,"Bitler, Susan ",Retired,N/A,Ballot Issue,,Use of public funds for private pre-schools,,Y,10/01/2014
NC20461,Independent Expenditure,Forward Progress,"White, John ",Exec. Director,"Honolulu, HI","White, John ",Exec. Director,"Honolulu, HI",Independent Expenditure,,,,N,07/11/2014
NC20267,Standard,Free Trade Hawaii PAC ,"O'Keefe, Jim ",Retired,Hilo,"Hale, Robert J. ",Retired,"Kailua-Kona, HI",Transportation,,,,Y,05/15/2010
NC20358,Standard,Friends For A Safer Honolulu ,"Young, Kory ",Attorney,"Honolulu, Hawaii","Balmaceda, Hazel Anne E. ",Accountant,"Honolulu, Hawaii",Single Candidate,,,Kevin Takata,Y,08/21/2012
NC20376,Standard,Friends for Jobs and Greener Communities in Hawaii ,"Anderson, Kenneth D. ",Retired,N/A,"Palmer, Beverly Grossman ",attorney,Los Angeles,Single Candidate,,,Kirk Caldwell,Y,10/17/2012
NC20284,Standard,Friends of Mazie Hirono ,"Toyofuku, Robert ",Attorney,"Honolulu, Hawaii","Nielsen, Jadine ", Retired,N/A,Other,,,,Y,09/22/2010
NC20275,Standard,Gary Oda PAC ,"Oda, Gary E. ",Management,"Honolulu, Hawaii","Griffin, Yurica U. ",Accountant,"Honolulu, Hawaii",Other,,,,Y,08/05/2010
NC20046,Standard,Gas Company Non-Candidate Committee (The) ,"Ackerman, Stephanie C. ","VP, External Affairs",The Gas Co. - TOPA Towers,"Chu, Ruth S. ",Financial Analyst,The Gas Co. - TOPA Towers,Energy / Utility,,,,Y,06/26/2008
NC20285,Standard,Gay and Lesbian Victory Fund ,"Werner, Shawn ",Director of Campaign Services,Gay and Lesbian Victory Fund,"Carter, Torey L. ",Director of Finance and Administration,Gay and Lesbian Victory Fund,Ideological / Single-Issue,,,,Y,09/20/2010
NC20582,Standard,General Contractors Association of Hawaii Political Action Committee,"Ehara, George ",Vice President,Swinerton Builders,"Herrera, Anna ",Accountant,"Kaikor Construction Company, Inc. ",Other,,,,N,09/04/2015
NC20503,Standard,Generator Skateboard Distribution,"Iwanicha, Justin R. ",sales manager,california,"Iwanicha, Justin R. ",sales manager,california,Business / General Commerce,,,,Y,10/03/2014
NC20047,Standard,Gentry Ohana PAC,"Luning, Debra ",Director of Gov't. Affairs & Community Relations,"Honolulu, HI","Machida, Quentin S. ",Sr. Vice President & Chief Financial Officer,"Honolulu, HI",Construction,,,,N,07/23/2008
NC20260,Standard,GlaxoSmithKline LLC PAC,"French, Kendall E. ",Senior Executive,"Research Triangle Park, NC","Gatling, Denise James ",Director,"Research Triangle Park, NC",Healthcare / Medical,,,,N,01/21/2010
NC20212,Standard,"Glaziers, Architectural Metal  Glassworkers Union Local 1889","Arelliano, Dwayne ",Business Representative,Honolulu,"DePeralta, Jerry C. ",Business Representative,Honolulu,Labor Union,,,,N,09/10/2008
NC20518,Standard,"Global Ag Labor, Inc.","Johnson, Wallace ",President,Waimea,"Johnson, Wallace ",President,Waimea,Business / General Commerce,,,,Y,10/15/2014
NC20455,Standard,GM Fleetwood's on Front St,"Waddell, Eric J. ",General Manager,Fleetwood's on Front St,"Waddell, Eric J. ",General Manager,Fleetwood's on Front St,Other,,,,Y,06/23/2014
NC20472,Ballot Issue,Good Beginnings Alliance - Children's Action Network,"Ancheta, Ben ",Chief Revenue Officer,ProService Hawaii,"Vieira, Keith ",Business Manager,Starwood Hotels and Resorts,Ballot Issue,,Children's and policy,,Y,08/25/2014
NC20620,Standard,Government Employees Insurance Company,"Nayden, Hank ","Vice President and Legislative Counsel, GEICO","Chevy Chase, Maryland","Smith, Cinda ","Senior Counsel, GEICO","Chevy Chase, Maryland",Insurance,,,,N,06/28/2016
NC20048,Standard,Government Employees Insurance Company (GEICO) ,"Nayden, Hank ","Vice President, Legislative Counsel",Chevy Chase,"Smith, Cinda K. ",Attorney,Chevy Chase,Insurance,,,,Y,07/11/2008
NC20207,Political Party,Green Party of Hawaii,"Van Doren, Mark ",self-employed,home,"Hedgecock-Jacobson, Julie S. ",homemaker,home,Political Party,Green,,,N,09/05/2008
NC20337,Standard,"Green Solar Transportation, LLC ","Reichart, Christopher J. ",President/Partner/CEO,"Miramar, FL","Zangerolame, Francisco J. ",Project Manager,"Miramar, FL",Healthcare / Medical,,,,Y,06/18/2012
NC20572,Standard,Grocery Manufacturers Association Political Education Fund,"McGuire, Denzel E. ",executive vice president,washington dc,"Hagan, Amanda ",vice president,washington dc,Agribusiness,,,,Y,02/02/2015
NC20362,Standard,Grocery Manufacturers Association Political Education Fund ,"Riehl, Scott ",Government Relations,"Washington, D.C.","Dages, Joe M. ",Government Relations,"Washington, D.C.",Non-Profit,,,,Y,08/27/2012
NC20406,Standard,"GS Entertainment, Inc. dba Lucky Touch 2","Miki, Lee T. ",Attorney,Same as above,"Miki, Lee T. ",Attorney,Same as above,Other,,,,N,01/13/2014
NC20565,Standard,"GWR Wailea Property, LLC dba Grand Wailea Resort Hotel and Spa","Donovan, Thomas W. ",Managing Director,Grand Wailea Resort,"Abbott, Thomas F. ",Director of Finance,Grand Wailea Resort,Tourism,,,,Y,12/17/2014
NC20629,Standard,Halona Pacific LLC,"Chang, Jingbo ",Propery Rental,Honolulu,"Chang, Wendy ",Propery Rental,Honolulu,Real Estate,,,,Y,08/02/2016
NC20227,Ballot Issue,Hawaii Alliance ,"Ariyoshi, George ",Consultant,"Honolulu, Hawaii","Osaki, Iris H. ",Accountant,"Honolulu, Hawaii",Ballot Issue,,Constitutional Convention,,Y,09/22/2008
NC20031,Standard,Hawaii Association for Justice-PAC (HIAJ-PAC),"Fritz, Collin ",Attorney,"820 Mililani St., Ste. 701","Adair, Cindy ",Executive Director,44-684 Iris Place,Non-Profit,,,,N,06/20/2008
NC20224,Standard,Hawaii Association for Marriage and Family Therapy - HAMFT ,"Swigart, Paul D. Kai ",Psychotherapist/Owner,"TalkDoctors, LLC","Swigart, Julia I. ",Office Manager,"TalkDoctors, LLC",Healthcare / Medical,,,,Y,09/22/2008
NC20397,Standard,Hawaii Association of Nurse Anesthesia Practice Political Action Committee (PAC),"Dixon, Samuel E. ",CRNA,TAMC,"Maliszewskyj, James ",CRNA,TAMC,Non-Profit,,,,N,01/03/2014
NC20050,Standard,Hawaii Association of Public Accountants (HAPA - PAC),"Roberts, Marilyn N. ",Certified Public Accountant,"Wailuku, Hawaii","Takamura, Colleen M. ",Certified Public Accountant,"Wailuku, Hawaii",Non-Profit,,,,N,06/17/2008
NC20193,Standard,Hawaii Automobile Dealers Association,"Rolf, Dave ",Executive Director,HADA,"Hansen, Ronald ",Auto Dealer,King Windward Nissan,Non-Profit,,,,N,08/19/2008
NC20351,Independent Expenditure,Hawaii Building & Construction Trades Council,"Bukoski, Kika G. ",EXECUTIVE DIRECTOR,"735 BISHOP STREET, STE. 412, HONOLULU, HI 96813","Bukoski, Kika G. ",EXECUTIVE DIRECTOR,"735 BISHOP STREET, STE 412, HONOLULU, HI 96813",Construction,,,,Y,07/28/2012
NC20241,Ballot Issue,"Hawaii Building and Construction Trades Council, AFL-CIO ","Hong, William H. ",Executive Director,Hawaii Building & Construction Trades Council,"Hong, William H. ",Executive Director,Hawaii Building & Construction Trades Council,Ballot Issue,,City & County Charter Amendment for RAIL,,Y,10/30/2008
NC20350,Standard,Hawaii Carpenters Market Recovery Program Fund PAC,"Ellamar, Stacy ",Manager,"Honolulu, Hawaii","Baptist, Jill ",Manager,"Honolulu, Hawaii",Other,,,,N,07/17/2012
NC20051,Standard,Hawaii Carpenters Political Action Fund,"Chock, Kyle ",Asst. EST,"1311 Houghtailing St., Honolulu, HI 96817","Wilson, Brooke ",Political and Education Director,"1311 Houghtailing St., Honolulu, HI 96817",Labor Union,,,,N,07/15/2008
NC20422,Independent Expenditure,Hawaii Center for Food Safety Action Fund,"Lukens, Ashley ",Program Director,Center for Food Safety,"Moore, Tonja M. ",Director of Operations,Center for Food Safety,Independent Expenditure,,,,N,04/30/2014
NC20483,Ballot Issue,Hawaii Center for Food Safety Maui Fund,"Lukens, Ashley ",Hawaii Program Director,Hawaii,"Moore, Tonja ",Director of Operations,"Washington, DC",Ballot Issue,,Maui GMO Moratorium,,Y,09/26/2014
NC20294,Standard,Hawaii Chamber PAC,"Menor-McNamara, Sherry ",President & CEO,"Honolulu, HI","Domaloan, Jennifer ",Controller/Office Manager,"Honolulu, HI",Business / General Commerce,,,,N,12/07/2010
NC20049,Standard,Hawaii Citizens' Rights Political Action Committee,"Nagai, Kerry S. ",Accountant,"Honolulu, Hawaii","Nagai, Kerry S. ",Accountant,"Honolulu, Hawaii",Other,,,,N,09/08/2008
NC20633,Standard,Hawaii Community Pharmacists Association,"Glick, Kevin ",Pharmacist,Hawaii ,"Glick, Kevin ",Pharmacist,Hawaii ,Non-Profit,,,,N,08/03/2016
NC20052,Standard,Hawaii Credit Union League (HCUL) Political Action Committee,"Fukuroku, Gary ",President,Maui County Federal Credit Union,"Tanimoto, Dennis K. ",President,Hawaii Credit Union League,Finance,,,,N,06/30/2008
NC20053,Standard,Hawaii Dental Political Action Committee,"Chun, Norman S. ",DMD,Kamaaina Dental Associates,"Okihiro, Glenn M. ",DDS,Glenn M Okihiro DDS,Healthcare / Medical,,,,N,09/04/2008
NC20217,Standard,Hawaii Dermatological Society PAC ,"Dawson, Kevin L. ",Physician,Above,"Dawson, Kevin L. ",Physician,Above,Healthcare / Medical,,,,Y,09/09/2008
NC20265,Standard,Hawaii Electrical Workers PAC Fund ,"Hoeft, Henry W. Jr.",President,Hawaii Electrical Workers,"Capello, Rodney ",Business Manager/Secr.Treas.,Hawaii Electrical Workers,Labor Union,,,,Y,03/30/2010
NC20333,Standard,"Hawaii Electrical Workers, Local 722","Mollena, Jared ",Electrician,Commercial Electric,"Capello, Rodney ",Business Manager/ Secr./Treas.,Hawaii Electrical Workers,Labor Union,,,,N,05/15/2012
NC20176,Standard,Hawaii Electricians Market Enhancement Program Political Fund,"Kim, Damien T. ",Business Manager/Financial Secretary,"Honolulu, HI","Vincent, Thomas B. ",Management,"Honolulu, HI",Labor Union,,,,N,09/10/2008
NC20353,Independent Expenditure,Hawaii Family Advocates,"Aiona, James R. ""Duke"" Jr.",Attorney,James Hochberg Law Firm,"Meimer, Alexander K. ",Financial Advidsor,Ameriprise,Independent Expenditure,,,,Y,08/05/2012
NC20054,Standard,Hawaii Farm Bureau Election Action Committee ,"Okimoto, Dean J. ",Farmer / Owner,Waimanalo,"Takemoto, Alan ",Executive Director,Honolulu,Non-Profit,,,,Y,08/30/2008
NC20580,Standard,Hawaii Farm Bureau Political Action Committee,"Miyamoto, Brian ",Executive Director,Hawaii Farm Bureau,"Jefts, Larry G. ",Farmer,Kunia,Non-Profit,,,,N,02/01/2016
NC20587,Standard,Hawaii Federation of Republican Women,"Mossman, Fern H. ",Real Estate Agent,Coldwell Banker,"Kama-Kimura, Rita ",House Wife,Residence,Independent Expenditure,,,,N,08/25/2015
NC20055,Standard,Hawaii Financial Services Association PAC,"Tanaka, Alvin K. ",District Manager,"Waipahu, Hawaii","Dang, Marvin S. ",Attorney,"Honolulu, Hawaii",Finance,,,,N,06/26/2008
NC20056,Standard,Hawaii Fire Fighters Association,"Lee, Robert H. ",President,1018 Palm Drive,"Cano, Terry ",Retired Fire Fighter,1018 Palm Drive,Labor Union,,,,N,08/07/2008
NC20057,Standard,Hawaii Flooring Association PAC,"Nakamura, Harris ",Contractor,OAHU,"Olinger, Leilani ",Contractor,OAHU,Non-Profit,,,,N,06/18/2008
NC20481,Independent Expenditure,Hawaii Forward,"Wong, Nicole L. ",Member Services Branch Manager,State of Hawaii,"Wong, Nicole L. ",Member Services Branch Manager,State of Hawaii,Independent Expenditure,,,,Y,09/23/2014
NC20519,Standard,Hawaii Fresh Produce,"Guo, Xiangdong ",Farmer,"Pepeekeo, HI","Guo, Xiangdong ",Farmer,"Pepeekeo, HI",Agribusiness,,,,Y,10/07/2014
NC20058,Standard,Hawaii Funeral Industry Political Action Committee,"Buffington, Eadean M. ",Sales Manager,Mililani Memorial Park,"Andrade, Jerome M. ",Senior Funeral Arranger,Ballard Family Mortuary,Other,,,,N,09/04/2008
NC20632,Standard,Hawaii Future Project,"Mossman, Paul L. ",Construction,"PFC, Inc.","Mossman, Fern H. ",Realator Associate,Home Quest,Education,,,,N,07/29/2016
NC20059,Standard,Hawaii Government Employees Association,"Perreira, Randolph P. ",Executive Director,"Honolulu, Hawaii","Chai, Jodi ",Deputy Executive Director - Admin,"Honolulu, Hawaii",Labor Union,,,,N,06/19/2008
NC20420,Standard,Hawaii House Democratic PAC,"Liu, Denise ",Legislative,Hawaii State Legislature,"Hallett, Brian N. ",Budget,"Honolulu, Hawaii 96813",Other,,,,N,03/14/2014
NC20430,Political Party,Hawaii Independent Party,"Del Rosario, Brenda Michelle ",Realtor® / Entrepreneur,Hawaii,"Del Rosario, Michelle ",Realtor® / Entrepreneur,Hawaii,Political Party,Independent,,,N,04/30/2014
NC20060,Standard,Hawaii Insurers Council Political Action Committee,"Shonka, Jeffrey A. ",Chief Financial Officer,"First Insurance Company of Hawaii, Ltd.","Shonka, Jeffrey A. ",Chief Financial Officer,"First Insurance Company of Hawaii, Ltd.",Other,,,,Y,06/18/2008
NC20061,Standard,Hawaii Ironworkers Stabilization Fund PAC,"Watanabe, John ",Engineer,S&M Welding,"Wong, Joseph ",Lobbyist,Legislature,Labor Union,,,,N,08/08/2008
NC20062,Standard,Hawaii Island Chamber of Commerce ,"Taniguchi, Art ",Banker,Bank of Hawai`i,"Miyata, Jon ",Executive,HPM,Non-Profit,,,,Y,09/10/2008
NC20182,Standard,Hawaii Island Contractors Association Political Action Committee,"Yamada, Gerald K. ",General Contractor,"16-212 Melekehiwa Pl, Keaau, HI  96749","Isemoto, Leslie K. ",General Contractor,"648 Piilani St, Hilo, HI   96720",Construction,,,,N,08/16/2008
NC20205,Standard,Hawaii Laborers' Political Action Committee,"Ganaban, Peter A. ",Business Manager,Honolulu,"Oliver, Alfonso ",President,Honolulu,Labor Union,,,,N,09/09/2008
NC20348,Standard,Hawaii Laborers-Employers Cooperation and Education Trust,"Hayashi, Clyde T. ",Director,"650 Iwilei Road, Suite 285 Honolulu HI 96817","Lee, Peter ",Construction Compliance Officer,"650 Iwilei Road, Suite 285 Honolulu HI 96817",Construction,,,,N,07/27/2012
NC20499,Standard,Hawaii Leadership PAC,"Mizuguchi, Norman ",Businessman,"Hawaiian Emporium, Inc.","Zamore, Judith ",Owner/Consultant,"Capitol Compliance Associates, Inc.",Other,,,,Y,10/01/2014
NC20215,Standard,Hawaii Long Term Care Association,"Ogawa, Robert T. ",President,Ogawa & Associates,"Kishaba, Richard S. ",President/CEO,Ohana Pacific Management,Other,,,,N,09/17/2008
NC20165,Standard,Hawaii Machinists Non Partisan Political League,"Lillis, Robert D. ",President,"Honolulu, Hawaii","Taaca, Larry T. ",Technician,N/A,Labor Union,,,,N,09/08/2008
NC20063,Standard,Hawaii Medical Political Action Committee,"Flanders, DO, Jone ",Physician,"46-001 Kamehameha Hwy #401, Kaneohe, HI  96744","Kemble, Stephen ",Physician,"1100 Ward Ave., #701, Hon., HI  96814",Non-Profit,,,,N,06/25/2008
NC20064,Standard,Hawaii Medical Service Association Employee Political Action Committee,"Azama, Garet ",Vice President,HMSA,"Marting, Gina ",Vice President,HMSA,Healthcare / Medical,,,,N,07/01/2008
NC20305,Standard,Hawaii Operating Engineers Industry Stabilization Fund,"Wilhelm, Lance K. ",Chairman,"2181 Lauwiliwili St, Kapolei, HI 96707","Meatoga, Pane Jr.",Employee Trustee,"2181 Lauwiliwili St, Kapolei, HI 96707",Construction,,,,N,11/02/2011
NC20065,Standard,Hawaii Operating Engineers Industry Stabilization Trust Fund ,"Kobayashi, Alvin ",Chairperson,Hawaii,"Trento, Gregory ",ADMINISTRATOR,CALIFORNIA,Other,,,,Y,09/08/2008
NC20066,Standard,Hawaii Operating Transporters PAC,"Takaki, Donald M. ",President,Honolulu,"Sakakida, Gareth K. ",Managing Director,Honolulu,Non-Profit,,,,N,06/26/2008
NC20170,Standard,Hawaii Ophthalmological Society ,"Chen, Ming ",MD,as above,"Lai, James ",MD,as above,Healthcare / Medical,,,,Y,09/10/2008
NC20511,Standard,Hawaii Ophthalmological Society PAC,"Wong, M.D., William K. Jr.",physician,Hawaii Vision Clinic,"Lee, M.D., Brandon ",Physician,Cataract and Vision Center,Healthcare / Medical,,,,N,10/08/2014
NC20386,Standard,Hawaii Optometric PAC,"Serikawa, Alan Y. ",optometrist,same as above,"Watanabe, Glenn M. ",optometrist,same as above,Healthcare / Medical,,,,N,04/10/2013
NC20067,Standard,Hawaii Optometric Political Action Committee ,"Shoji, Peter J. ",optometrist,Honolulu. HI,"Watanabe, Glenn M. ",optometrist,"Waipahu, HI",Healthcare / Medical,,,,Y,06/20/2008
NC20068,Standard,Hawaii Pest Control Association PAC,"Manago, Terrance ",Pest Control Operator,"Honolulu, HI","Lau, Dave ",Pest Control Operator,"Honolulu, HI",Non-Profit,,,,N,06/20/2008
NC20581,Standard,Hawaii Pilots Association,"Heberle, Thomas L. ",Port Pilot,"Pier 19, Honolulu Harbor","Collins, Thomas H. Jr.",Port Pilot,"Pier 19, Honolulu Harbor",Transportation,,,,N,05/20/2015
NC20545,Standard,"Hawaii Pirate Ship, LLC","Sing, Jonalynn ",admin.,Waikiki,"Sing, Jonalynn ",Admin,Waikiki,Tourism,,,,Y,10/23/2014
NC20411,Independent Expenditure,Hawaii Progress,"Harris, Robert D. ",Executive Director,Sierra Club,"Harris, Claire R. ",Political Fundraiser,Hawaii Progress,Independent Expenditure,,,,Y,01/31/2014
NC20245,Standard,Hawaii Psychiatric Political Action Committee ,"Beardsley, Gale R. ",psychiatrists,office at 600 Kapiolani Blvd,"Williams, Steve ",Dept of Psychiatry Faculty,Queen's Medical Center,Healthcare / Medical,,,,Y,12/16/2008
NC20596,Standard,Hawaii Psychological Association Political Action Committee,"Gray, Jill Oliveira ",,,"Gray, Jill Oliveria ",,,,,,,N,
NC20172,Standard,"Hawaii Psychological Political Action Committee, AKA HI PSY PAC ","Miyamoto, Robin ",Clinical Psychologist,Private Practice,"Oliveira, Jill ",Psychologist,Private Practice,Healthcare / Medical,,,,Y,06/24/2008
NC20314,Standard,Hawaii PV Coalition Political Action Committee,"Duda, Mark ","Principal, RevoluSun & Distributed Energy Partners","1003 Bishop Street, Pauahi Tower, Suite 2020","Thompson, Myron K. ","President, Smart Energy Hawaii","5823 Kalanianaole Hwy, Honolulu, HI 96821",Energy / Utility,,,,N,03/19/2012
NC20604,Independent Expenditure,Hawaii Realtors for Good Government,"LaCosta, P. Denise ",Realtor,La Costa Realty Hawaii,"LaCosta, P. Denise ",Realtor,La Costa Realty Hawaii,Independent Expenditure,,,,N,05/04/2016
NC20458,Independent Expenditure,Hawaii REALTORS for Good Government,"Nishihara, Trudy ",REALTOR,Coldwell Banker Pacific Properties ,"Oh, Myoung ",Government Relations,Hawaii Association of REALTORS,Independent Expenditure,,,,Y,07/08/2014
NC20248,Standard,Hawaii Republican Assembly,"Ryan, Eric ",President,Hawaii Republican Assembly,"Ryan, Eric ",Republican Activist,Hawaii,Other,,,,N,04/16/2009
NC20069,Political Party,Hawaii Republican Party,"Rohlfing, Frederick W. III",Attorney,Case Lombardi & Pettit,"Smart, Mary ",Real Estate Agent,Coldwell Banker Pacific Properites,Political Party,Republican,,,N,06/20/2008
NC20304,Standard,Hawaii Republicans for Life,"Skaf, Jacquelyn H. ",homemaker,none,"White, Carol R. ", Retired,none,Ideological / Single-Issue,,,,Y,09/22/2011
NC20070,Standard,Hawaii Restaurant Association Political Action Committee ,"Jones, Thomas H. ",Restaurant Owner,Gyotaku Japanese Restaurant,"Lim, Victor ",Restaurant Owner,Fort Street Mall Mc Donald's,Business / General Commerce,,,,Y,09/08/2008
